epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_min_class_f1,val_precision_Neutral,val_recall_Neutral,val_f1_Neutral,val_precision_Happy,val_recall_Happy,val_f1_Happy,val_precision_Angry,val_recall_Angry,val_f1_Angry,val_precision_Sad,val_recall_Sad,val_f1_Sad,val_precision_Fear,val_recall_Fear,val_f1_Fear,val_precision_Disgust,val_recall_Disgust,val_f1_Disgust,val_precision_Boredum,val_recall_Boredum,val_f1_Boredum
1,1.9193145779200962,1.8180674655096871,0.24285714285714285,0.14858090238029445,0.24285714285714283,0.14312403282991518,0.14312403282991518,0.0,0.3181818181818182,0.84,0.4615384615384615,0.25,0.08,0.12121212121212122,0.0,0.0,0.0,0.2857142857142857,0.08,0.125,0.0,0.0,0.0,0.18617021276595744,0.7,0.2941176470588235,0.0,0.0,0.0
2,1.8193793283190045,1.7737407841001238,0.2857142857142857,0.22786595872293766,0.2857142857142857,0.22590488194041905,0.22590488194041905,0.0,0.37272727272727274,0.82,0.5125000000000001,0.23529411764705882,0.56,0.3313609467455621,0.18181818181818182,0.04,0.06557377049180327,0.0,0.0,0.0,0.25806451612903225,0.16,0.19753086419753085,0.18604651162790697,0.16,0.17204301075268816,0.3611111111111111,0.26,0.3023255813953488
3,1.7892329563413347,1.7521689135687692,0.3028571428571429,0.2861048433435113,0.3028571428571429,0.27480876426635004,0.27480876426635004,0.06060606060606061,0.42391304347826086,0.78,0.5492957746478873,0.32432432432432434,0.24,0.27586206896551724,0.23404255319148937,0.22,0.2268041237113402,0.125,0.04,0.06060606060606061,0.37037037037037035,0.2,0.2597402597402597,0.21739130434782608,0.4,0.28169014084507044,0.3076923076923077,0.24,0.26966292134831465
4,1.756805009160723,1.7387890175410678,0.3028571428571429,0.24306710538005558,0.3028571428571429,0.2607663951141004,0.2607663951141004,0.0,0.5,0.74,0.5967741935483871,0.2808988764044944,0.5,0.3597122302158274,0.12,0.06,0.08,0.0,0.0,0.0,0.2647058823529412,0.18,0.21428571428571427,0.20253164556962025,0.32,0.24806201550387597,0.3333333333333333,0.32,0.32653061224489793
5,1.7269549867085048,1.7581939819880894,0.2742857142857143,0.21670196470196473,0.2742857142857143,0.20576662675467997,0.20576662675468,0.0,0.358974358974359,0.84,0.502994011976048,0.264,0.66,0.3771428571428571,0.09090909090909091,0.04,0.05555555555555555,0.13636363636363635,0.06,0.08333333333333333,0.2222222222222222,0.16,0.18604651162790697,0.0,0.0,0.0,0.4444444444444444,0.16,0.23529411764705882
6,1.7161941364833286,1.7311487981251308,0.3057142857142857,0.2910733522909246,0.3057142857142857,0.23275159405746143,0.2327515940574614,0.02985074626865672,0.3706896551724138,0.86,0.5180722891566265,0.27941176470588236,0.76,0.4086021505376344,0.375,0.06,0.10344827586206896,0.058823529411764705,0.02,0.02985074626865672,0.22727272727272727,0.2,0.21276595744680854,0.2,0.04,0.06666666666666667,0.5263157894736842,0.2,0.28985507246376807
7,1.6669030782154628,1.6696955394744872,0.33714285714285713,0.33504491540205833,0.3371428571428572,0.30006731450332713,0.3000673145033271,0.03448275862068966,0.6458333333333334,0.62,0.6326530612244898,0.3076923076923077,0.56,0.3971631205673759,0.4444444444444444,0.08,0.13559322033898308,0.125,0.02,0.03448275862068966,0.2261904761904762,0.38,0.28358208955223885,0.25,0.16,0.19512195121951217,0.34615384615384615,0.54,0.42187500000000006
8,1.6538310902459281,1.670815863609314,0.36,0.34648914558209226,0.36,0.3381667840246597,0.3381667840246597,0.1333333333333333,0.4880952380952381,0.82,0.6119402985074627,0.3508771929824561,0.4,0.37383177570093457,0.2542372881355932,0.3,0.2752293577981651,0.15,0.12,0.1333333333333333,0.45454545454545453,0.2,0.2777777777777778,0.2647058823529412,0.18,0.21428571428571427,0.46296296296296297,0.5,0.4807692307692307
9,1.6355927521841866,1.6629685177121845,0.38285714285714284,0.350961810787996,0.3828571428571429,0.3428638217332782,0.3428638217332782,0.09836065573770492,0.4639175257731959,0.9,0.6122448979591837,0.39622641509433965,0.42,0.4077669902912621,0.3333333333333333,0.2,0.25,0.2727272727272727,0.06,0.09836065573770492,0.25,0.2,0.22222222222222224,0.3076923076923077,0.32,0.3137254901960784,0.43283582089552236,0.58,0.4957264957264957
10,1.6050321449552263,1.6299824108396257,0.36,0.34912750522438657,0.36,0.34426573230434515,0.34426573230434515,0.17204301075268816,0.52,0.78,0.624,0.358974358974359,0.28,0.3146067415730337,0.2857142857142857,0.2,0.23529411764705882,0.18604651162790697,0.16,0.17204301075268816,0.43333333333333335,0.26,0.325,0.2727272727272727,0.36,0.3103448275862069,0.3870967741935484,0.48,0.42857142857142855
11,1.5948519733973912,1.6016907242366245,0.37714285714285717,0.36604815224056025,0.37714285714285717,0.3479695627556207,0.34796956275562063,0.1408450704225352,0.5588235294117647,0.76,0.6440677966101696,0.3333333333333333,0.46,0.38655462184873945,0.28846153846153844,0.3,0.29411764705882354,0.23809523809523808,0.1,0.1408450704225352,0.34285714285714286,0.24,0.2823529411764706,0.4444444444444444,0.16,0.23529411764705882,0.3563218390804598,0.62,0.45255474452554745
12,1.5791326444489615,1.624851608276367,0.3485714285714286,0.33165055696524,0.34857142857142864,0.33020808664328666,0.3302080866432867,0.10526315789473685,0.5633802816901409,0.8,0.6611570247933886,0.35714285714285715,0.4,0.3773584905660378,0.2982456140350877,0.34,0.31775700934579443,0.15384615384615385,0.08,0.10526315789473685,0.25,0.28,0.2641509433962264,0.27586206896551724,0.32,0.29629629629629634,0.4230769230769231,0.22,0.28947368421052627
13,1.5496868549074445,1.6306600155149187,0.38,0.43559768765926643,0.38,0.36234832738899186,0.36234832738899186,0.1111111111111111,0.68,0.68,0.68,0.35064935064935066,0.54,0.42519685039370075,0.2786885245901639,0.34,0.30630630630630634,0.75,0.06,0.1111111111111111,0.30357142857142855,0.34,0.32075471698113206,0.3137254901960784,0.32,0.3168316831683168,0.37254901960784315,0.38,0.37623762376237624
14,1.5383937168121338,1.6078755262919835,0.3514285714285714,0.3378026528147594,0.3514285714285714,0.3269085669690625,0.3269085669690625,0.09836065573770492,0.5540540540540541,0.82,0.6612903225806451,0.32727272727272727,0.36,0.34285714285714286,0.35135135135135137,0.26,0.2988505747126437,0.2727272727272727,0.06,0.09836065573770492,0.288135593220339,0.34,0.3119266055045872,0.24675324675324675,0.38,0.2992125984251969,0.32432432432432434,0.24,0.27586206896551724
15,1.5099177312850953,1.6172632340022495,0.3457142857142857,0.31336199178454777,0.34571428571428575,0.3172208256944002,0.3172208256944002,0.11764705882352941,0.5714285714285714,0.8,0.6666666666666666,0.34782608695652173,0.32,0.3333333333333333,0.2222222222222222,0.08,0.11764705882352941,0.1935483870967742,0.12,0.14814814814814814,0.20930232558139536,0.18,0.19354838709677422,0.2777777777777778,0.4,0.3278688524590164,0.37142857142857144,0.52,0.43333333333333335
16,1.508705108506339,1.6548384754998344,0.3657142857142857,0.34013864324487797,0.3657142857142857,0.3430646450783434,0.34306464507834344,0.1411764705882353,0.5238095238095238,0.88,0.6567164179104478,0.37142857142857144,0.26,0.30588235294117644,0.2765957446808511,0.26,0.268041237113402,0.17142857142857143,0.12,0.1411764705882353,0.3170731707317073,0.26,0.2857142857142857,0.35555555555555557,0.32,0.3368421052631579,0.36507936507936506,0.46,0.40707964601769914
17,1.4745026063919067,1.6006100572858537,0.36,0.3394652966081538,0.36000000000000004,0.33679026247549143,0.33679026247549143,0.1388888888888889,0.6428571428571429,0.72,0.6792452830188679,0.3333333333333333,0.36,0.34615384615384615,0.26153846153846155,0.34,0.2956521739130435,0.22727272727272727,0.1,0.1388888888888889,0.3142857142857143,0.22,0.25882352941176473,0.23333333333333334,0.14,0.17500000000000002,0.36363636363636365,0.64,0.463768115942029
