epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_min_class_f1,val_precision_Neutral,val_recall_Neutral,val_f1_Neutral,val_precision_Happy,val_recall_Happy,val_f1_Happy,val_precision_Angry,val_recall_Angry,val_f1_Angry,val_precision_Sad,val_recall_Sad,val_f1_Sad,val_precision_Fear,val_recall_Fear,val_f1_Fear,val_precision_Disgust,val_recall_Disgust,val_f1_Disgust,val_precision_Boredum,val_recall_Boredum,val_f1_Boredum
1,1.9406515639168875,1.9022356046949114,0.24,0.2198905649216208,0.24,0.19648256650544985,0.19648256650544982,0.0,0.5,0.4,0.4444444444444445,0.2857142857142857,0.04,0.07017543859649124,0.16304347826086957,0.6,0.25641025641025644,0.0,0.0,0.0,0.2571428571428571,0.36,0.3,0.0,0.0,0.0,0.3333333333333333,0.28,0.30434782608695654
2,1.9173089109148298,1.87056077003479,0.22857142857142856,0.32353300893860265,0.22857142857142862,0.1890825351416508,0.1890825351416508,0.0,0.40350877192982454,0.46,0.42990654205607476,0.19827586206896552,0.46,0.2771084337349398,1.0,0.02,0.0392156862745098,0.14285714285714285,0.28,0.18918918918918917,0.234375,0.3,0.2631578947368421,0.0,0.0,0.0,0.2857142857142857,0.08,0.125
3,1.890699565751212,1.8344234357561384,0.2542857142857143,0.35777599083111505,0.25428571428571434,0.21846526872343858,0.21846526872343858,0.0,0.5238095238095238,0.44,0.4782608695652174,0.296875,0.38,0.3333333333333333,1.0,0.02,0.0392156862745098,0.15476190476190477,0.26,0.19402985074626866,0.1956521739130435,0.54,0.2872340425531915,0.0,0.0,0.0,0.3333333333333333,0.14,0.1971830985915493
4,1.8674497938156127,1.8107700790677752,0.26571428571428574,0.20251271455023684,0.26571428571428574,0.21992744558212915,0.21992744558212918,0.0,0.3103448275862069,0.72,0.4337349397590362,0.32142857142857145,0.36,0.33962264150943394,0.06666666666666667,0.02,0.030769230769230767,0.2,0.2,0.20000000000000004,0.2,0.26,0.22608695652173913,0.0,0.0,0.0,0.3191489361702128,0.3,0.30927835051546393
5,1.8415611961909704,1.7763747617176602,0.30857142857142855,0.25400797616941,0.3085714285714286,0.26684810876942827,0.2668481087694283,0.0,0.3584905660377358,0.76,0.48717948717948717,0.3728813559322034,0.44,0.40366972477064217,0.21428571428571427,0.3,0.25,0.1891891891891892,0.14,0.16091954022988506,0.27586206896551724,0.16,0.20253164556962025,0.0,0.0,0.0,0.3673469387755102,0.36,0.3636363636363636
6,1.8364694670268467,1.7537027413504465,0.2857142857142857,0.2748815823948375,0.2857142857142857,0.22446487596085388,0.22446487596085388,0.06666666666666667,0.3584905660377358,0.76,0.48717948717948717,0.24822695035460993,0.7,0.36649214659685864,0.375,0.06,0.10344827586206896,0.14705882352941177,0.1,0.11904761904761905,0.15789473684210525,0.06,0.08695652173913043,0.2,0.04,0.06666666666666667,0.4375,0.28,0.34146341463414637
7,1.8189581646238056,1.7473870420455933,0.2914285714285714,0.26272076723666055,0.2914285714285714,0.2307020872419075,0.23070208724190747,0.03508771929824562,0.3333333333333333,0.84,0.47727272727272724,0.32608695652173914,0.6,0.4225352112676057,0.17142857142857143,0.24,0.19999999999999998,0.14285714285714285,0.02,0.03508771929824562,0.3076923076923077,0.08,0.126984126984127,0.11764705882352941,0.04,0.05970149253731344,0.44,0.22,0.29333333333333333
8,1.815229697227478,1.7461868020466396,0.31142857142857144,0.28833365748794043,0.3114285714285714,0.28349986599785776,0.2834998659978578,0.0,0.45121951219512196,0.74,0.5606060606060607,0.48148148148148145,0.26,0.33766233766233766,0.2631578947368421,0.4,0.3174603174603174,0.0,0.0,0.0,0.20270270270270271,0.3,0.24193548387096778,0.1864406779661017,0.22,0.20183486238532108,0.43333333333333335,0.26,0.325
9,1.7997975383486067,1.7187740394047328,0.30857142857142855,0.2781481673333844,0.30857142857142855,0.27225379222811436,0.2722537922281144,0.09836065573770492,0.4444444444444444,0.72,0.5496183206106869,0.3258426966292135,0.58,0.4172661870503597,0.21739130434782608,0.2,0.20833333333333331,0.16129032258064516,0.1,0.12345679012345678,0.21052631578947367,0.16,0.1818181818181818,0.2727272727272727,0.06,0.09836065573770492,0.3148148148148148,0.34,0.3269230769230769
10,1.786848427908761,1.727464713369097,0.3142857142857143,0.2936402624290823,0.3142857142857142,0.26820308701617673,0.2682030870161768,0.03448275862068966,0.44285714285714284,0.62,0.5166666666666667,0.2727272727272727,0.72,0.3956043956043956,0.2857142857142857,0.2,0.23529411764705882,0.125,0.02,0.03448275862068966,0.25,0.08,0.12121212121212122,0.391304347826087,0.18,0.2465753424657534,0.2878787878787879,0.38,0.3275862068965517
11,1.7870149735042027,1.7068754611696515,0.3457142857142857,0.31201444793843286,0.3457142857142857,0.2816263087256173,0.2816263087256172,0.03448275862068966,0.40625,0.78,0.5342465753424658,0.36470588235294116,0.62,0.45925925925925926,0.125,0.02,0.03448275862068966,0.3333333333333333,0.02,0.03773584905660377,0.30434782608695654,0.14,0.19178082191780824,0.2808988764044944,0.5,0.3597122302158274,0.3695652173913043,0.34,0.3541666666666667
12,1.7840331602096557,1.726101473399571,0.2914285714285714,0.2808774232766709,0.2914285714285714,0.25303569671184284,0.25303569671184284,0.03448275862068966,0.36283185840707965,0.82,0.5030674846625767,0.43902439024390244,0.36,0.3956043956043956,0.2,0.4,0.26666666666666666,0.075,0.06,0.06666666666666665,0.125,0.02,0.03448275862068966,0.3,0.12,0.17142857142857143,0.4642857142857143,0.26,0.3333333333333333
13,1.766130417415074,1.6908246319634574,0.3171428571428571,0.27928056080962194,0.31714285714285717,0.2840499634724791,0.28404996347247913,0.08695652173913043,0.45348837209302323,0.78,0.5735294117647058,0.36619718309859156,0.52,0.42975206611570255,0.15789473684210525,0.06,0.08695652173913043,0.1111111111111111,0.1,0.10526315789473685,0.1891891891891892,0.14,0.16091954022988506,0.34375,0.22,0.2682926829268293,0.3333333333333333,0.4,0.3636363636363636
14,1.759235943385533,1.710417970929827,0.32285714285714284,0.26319095658895414,0.3228571428571429,0.24662239726272103,0.24662239726272098,0.032786885245901634,0.3191489361702128,0.9,0.47120418848167545,0.3764705882352941,0.64,0.47407407407407404,0.09090909090909091,0.02,0.032786885245901634,0.175,0.14,0.15555555555555556,0.2222222222222222,0.04,0.06779661016949154,0.2222222222222222,0.04,0.06779661016949154,0.43636363636363634,0.48,0.4571428571428572
15,1.7760434068952289,1.6722955431256976,0.32571428571428573,0.2979360413056584,0.32571428571428573,0.28921783255246714,0.28921783255246714,0.03125,0.5,0.64,0.5614035087719298,0.34444444444444444,0.62,0.44285714285714284,0.27586206896551724,0.16,0.20253164556962025,0.07142857142857142,0.02,0.03125,0.16666666666666666,0.12,0.13953488372093023,0.26881720430107525,0.5,0.34965034965034963,0.4583333333333333,0.22,0.29729729729729726
16,1.7555942787442889,1.659503447668893,0.32,0.27618710813268293,0.32,0.2704446264742484,0.2704446264742484,0.0,0.4166666666666667,0.7,0.5223880597014926,0.3018867924528302,0.64,0.4102564102564102,0.24390243902439024,0.4,0.30303030303030304,0.0,0.0,0.0,0.23809523809523808,0.1,0.1408450704225352,0.25,0.12,0.16216216216216217,0.4827586206896552,0.28,0.35443037974683544
17,1.7461643668583462,1.7371676417759487,0.2857142857142857,0.21587737549210903,0.2857142857142857,0.214656387610987,0.21465638761098696,0.0,0.2781065088757396,0.94,0.4292237442922375,0.3870967741935484,0.48,0.42857142857142855,0.10344827586206896,0.06,0.0759493670886076,0.05263157894736842,0.02,0.028985507246376812,0.3125,0.1,0.15151515151515152,0.0,0.0,0.0,0.37735849056603776,0.4,0.38834951456310685
18,1.7334469141278948,1.6599584811074393,0.32857142857142857,0.31370773673152846,0.3285714285714286,0.3069768670122853,0.30697686701228527,0.07228915662650602,0.44871794871794873,0.7,0.546875,0.3870967741935484,0.48,0.42857142857142855,0.28,0.42,0.3360000000000001,0.09090909090909091,0.06,0.07228915662650602,0.22857142857142856,0.16,0.18823529411764708,0.3023255813953488,0.26,0.27956989247311825,0.4583333333333333,0.22,0.29729729729729726
19,1.74237119947161,1.6846705525262016,0.3057142857142857,0.265187478772913,0.3057142857142857,0.24759370740802483,0.24759370740802486,0.08955223880597014,0.32142857142857145,0.9,0.4736842105263158,0.35802469135802467,0.58,0.44274809160305345,0.16666666666666666,0.08,0.10810810810810811,0.19230769230769232,0.1,0.13157894736842105,0.17647058823529413,0.06,0.08955223880597014,0.2777777777777778,0.1,0.14705882352941177,0.36363636363636365,0.32,0.3404255319148936
20,1.7283145727430071,1.6505622502735684,0.3342857142857143,0.32089903910655876,0.33428571428571424,0.2922676700782872,0.2922676700782871,0.07792207792207792,0.36,0.9,0.5142857142857143,0.3698630136986301,0.54,0.4390243902439025,0.3333333333333333,0.18,0.23376623376623376,0.1111111111111111,0.06,0.07792207792207792,0.2553191489361702,0.24,0.24742268041237112,0.4,0.12,0.18461538461538463,0.4166666666666667,0.3,0.3488372093023256
21,1.7298158706937516,1.6865044961656843,0.32857142857142857,0.29710552071295043,0.32857142857142857,0.2794751020298068,0.27947510202980674,0.03508771929824562,0.31125827814569534,0.94,0.4676616915422885,0.45454545454545453,0.4,0.4255319148936171,0.22580645161290322,0.14,0.1728395061728395,0.16666666666666666,0.08,0.10810810810810811,0.14285714285714285,0.02,0.03508771929824562,0.36,0.36,0.36,0.4186046511627907,0.36,0.38709677419354843
