epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_min_class_f1,val_precision_Neutral,val_recall_Neutral,val_f1_Neutral,val_precision_Happy,val_recall_Happy,val_f1_Happy,val_precision_Angry,val_recall_Angry,val_f1_Angry,val_precision_Sad,val_recall_Sad,val_f1_Sad,val_precision_Fear,val_recall_Fear,val_f1_Fear,val_precision_Disgust,val_recall_Disgust,val_f1_Disgust,val_precision_Boredum,val_recall_Boredum,val_f1_Boredum
1,1.9055262109211513,1.8049620090212142,0.2571428571428571,0.18194496033956004,0.2571428571428572,0.20144666053555924,0.20144666053555926,0.0,0.43478260869565216,0.6,0.5042016806722689,0.29411764705882354,0.5,0.37037037037037035,0.18446601941747573,0.38,0.2483660130718954,0.0,0.0,0.0,0.21739130434782608,0.3,0.25210084033613445,0.14285714285714285,0.02,0.03508771929824562,0.0,0.0,0.0
2,1.8052841554369246,2.0630543000357493,0.21714285714285714,0.17993197278911563,0.2171428571428571,0.1477782235278385,0.14777822352783854,0.0,0.2,0.94,0.3298245614035088,0.45,0.18,0.2571428571428572,0.0,0.0,0.0,0.14285714285714285,0.02,0.03508771929824562,0.16363636363636364,0.18,0.17142857142857143,0.0,0.0,0.0,0.30303030303030304,0.2,0.24096385542168675
3,1.7625625807898386,2.440738904135568,0.14857142857142858,0.07235621521335808,0.14857142857142858,0.05426460059943454,0.05426460059943453,0.0,0.14285714285714285,0.96,0.24870466321243523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.08,0.13114754098360654
4,1.7367689411980765,2.147632781437465,0.2542857142857143,0.30181319232863757,0.25428571428571434,0.21283140693188846,0.21283140693188846,0.0,0.8,0.32,0.45714285714285713,0.21621621621621623,0.8,0.3404255319148936,0.23809523809523808,0.1,0.1408450704225352,0.3333333333333333,0.02,0.03773584905660377,0.0,0.0,0.0,0.1566265060240964,0.26,0.19548872180451127,0.3684210526315789,0.28,0.3181818181818182
5,1.722160483769008,2.12825106212071,0.18285714285714286,0.09320118240306033,0.18285714285714286,0.09807983780768674,0.09807983780768674,0.0,0.19753086419753085,0.96,0.32764505119453924,0.0,0.0,0.0,0.0,0.0,0.0,0.08450704225352113,0.12,0.09917355371900827,0.0,0.0,0.0,0.0,0.0,0.0,0.37037037037037035,0.2,0.2597402597402597
6,1.689781700542995,2.1954855278560093,0.18,0.1276149255688898,0.18,0.10365782001246153,0.10365782001246154,0.0,0.16666666666666666,0.94,0.2831325301204819,0.0,0.0,0.0,0.11538461538461539,0.06,0.07894736842105263,0.17647058823529413,0.06,0.08955223880597014,0.0,0.0,0.0,0.0,0.0,0.0,0.43478260869565216,0.2,0.273972602739726
7,1.6817035586493356,3.834623418535505,0.15428571428571428,0.22643331251879092,0.1542857142857143,0.06442589338174416,0.06442589338174416,0.0,1.0,0.02,0.0392156862745098,0.16549295774647887,0.94,0.281437125748503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08620689655172414,0.1,0.0925925925925926,0.3333333333333333,0.02,0.03773584905660377
8,1.669667273248945,1.8342445489338466,0.33714285714285713,0.34957895715215176,0.3371428571428572,0.3025394812345397,0.3025394812345397,0.0,0.75,0.54,0.627906976744186,0.31896551724137934,0.74,0.4457831325301206,0.4482758620689655,0.26,0.3291139240506329,0.0,0.0,0.0,0.16981132075471697,0.18,0.17475728155339804,0.26,0.52,0.3466666666666667,0.5,0.12,0.1935483870967742
9,1.6508667319161552,1.8238036339623587,0.27714285714285714,0.31684610000399477,0.2771428571428572,0.2222391897326101,0.22223918973261006,0.0,0.38738738738738737,0.86,0.5341614906832298,0.6666666666666666,0.2,0.30769230769230765,0.19333333333333333,0.58,0.29,0.0,0.0,0.0,0.23076923076923078,0.06,0.09523809523809523,0.18421052631578946,0.14,0.1590909090909091,0.5555555555555556,0.1,0.16949152542372883
10,1.6382224260057723,2.233679714202881,0.21142857142857144,0.14571518656295374,0.21142857142857147,0.13548980682513373,0.13548980682513373,0.0,0.1934156378600823,0.94,0.32081911262798635,0.0,0.0,0.0,0.125,0.02,0.03448275862068966,0.08695652173913043,0.04,0.0547945205479452,0.2,0.14,0.1647058823529412,0.0,0.0,0.0,0.4146341463414634,0.34,0.3736263736263737
11,1.6228632749829974,3.6438087749481203,0.15428571428571428,0.20835057874837817,0.1542857142857143,0.07113285794842146,0.07113285794842145,0.0,1.0,0.02,0.0392156862745098,0.16546762589928057,0.92,0.2804878048780488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.06,0.058823529411764705,0.23529411764705882,0.08,0.11940298507462688
12,1.6149694899150304,2.3881777695247104,0.20857142857142857,0.48231049995755887,0.20857142857142857,0.12972847704938562,0.12972847704938562,0.0,0.17777777777777778,0.96,0.3,1.0,0.02,0.0392156862745098,1.0,0.02,0.0392156862745098,0.045454545454545456,0.02,0.027777777777777776,0.8,0.08,0.14545454545454545,0.0,0.0,0.0,0.35294117647058826,0.36,0.3564356435643565
13,1.602751374925886,1.758958226612636,0.3,0.34654528598054934,0.29999999999999993,0.26237478173107803,0.262374781731078,0.0821917808219178,0.32167832167832167,0.92,0.4766839378238342,0.75,0.18,0.2903225806451613,0.21839080459770116,0.38,0.2773722627737227,0.13043478260869565,0.06,0.0821917808219178,0.4,0.16,0.22857142857142856,0.1935483870967742,0.12,0.14814814814814814,0.4117647058823529,0.28,0.3333333333333333
14,1.5896536449023655,1.7557823596681867,0.36857142857142855,0.4610011228735459,0.3685714285714286,0.3433504908320839,0.3433504908320839,0.07547169811320754,0.7567567567567568,0.56,0.6436781609195402,0.26153846153846155,0.68,0.37777777777777777,0.47619047619047616,0.2,0.2816901408450704,0.3225806451612903,0.2,0.24691358024691357,0.6666666666666666,0.04,0.07547169811320754,0.42105263157894735,0.32,0.3636363636363636,0.32222222222222224,0.58,0.41428571428571426
15,1.5984929016658238,1.723413771220616,0.34285714285714286,0.510601453750772,0.3428571428571429,0.3071902978887275,0.3071902978887274,0.0392156862745098,0.75,0.54,0.627906976744186,0.4666666666666667,0.28,0.35000000000000003,0.3870967741935484,0.24,0.2962962962962963,0.3333333333333333,0.32,0.32653061224489793,1.0,0.02,0.0392156862745098,0.4,0.08,0.13333333333333333,0.23711340206185566,0.92,0.3770491803278689
16,1.5844407503945488,2.3814590958186557,0.2257142857142857,0.11807950580398864,0.22571428571428573,0.13447877576201764,0.13447877576201764,0.0,0.19678714859437751,0.98,0.3277591973244147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20754716981132076,0.22,0.21359223300970873,0.0,0.0,0.0,0.4222222222222222,0.38,0.4
