epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_min_class_f1,val_precision_Neutral,val_recall_Neutral,val_f1_Neutral,val_precision_Happy,val_recall_Happy,val_f1_Happy,val_precision_Angry,val_recall_Angry,val_f1_Angry,val_precision_Sad,val_recall_Sad,val_f1_Sad,val_precision_Fear,val_recall_Fear,val_f1_Fear,val_precision_Disgust,val_recall_Disgust,val_f1_Disgust,val_precision_Boredum,val_recall_Boredum,val_f1_Boredum
1,1.8392250156402588,1.7235970864977155,0.32,0.2989391313680297,0.32,0.2814878836478258,0.2814878836478258,0.0,0.5151515151515151,0.68,0.5862068965517241,0.30434782608695654,0.28,0.2916666666666667,0.21052631578947367,0.64,0.31683168316831684,0.0,0.0,0.0,0.37142857142857144,0.26,0.30588235294117644,0.2857142857142857,0.08,0.125,0.40540540540540543,0.3,0.3448275862068966
2,1.763656908443996,1.714050327709743,0.31142857142857144,0.2655745675498338,0.3114285714285714,0.2758641882908135,0.2758641882908135,0.0,0.5211267605633803,0.74,0.6115702479338843,0.25,0.2,0.22222222222222224,0.17777777777777778,0.16,0.16842105263157894,0.0,0.0,0.0,0.25925925925925924,0.42,0.32061068702290074,0.2804878048780488,0.46,0.34848484848484856,0.37037037037037035,0.2,0.2597402597402597
3,1.7255618245261055,1.7257834938594274,0.3142857142857143,0.2696110476597848,0.31428571428571433,0.26690651913858326,0.26690651913858326,0.0,0.352,0.88,0.5028571428571428,0.3939393939393939,0.26,0.3132530120481928,0.0,0.0,0.0,0.14705882352941177,0.1,0.11904761904761905,0.273972602739726,0.4,0.3252032520325203,0.27586206896551724,0.32,0.29629629629629634,0.4444444444444444,0.24,0.3116883116883117
4,1.711963051387242,1.6920394441059659,0.33714285714285713,0.3379865601258463,0.3371428571428572,0.29716140069740377,0.2971614006974038,0.10666666666666667,0.5588235294117647,0.76,0.6440677966101696,0.26881720430107525,0.5,0.34965034965034963,0.16,0.08,0.10666666666666667,0.21739130434782608,0.1,0.136986301369863,0.5,0.16,0.24242424242424243,0.3684210526315789,0.14,0.20289855072463772,0.29245283018867924,0.62,0.3974358974358974
5,1.6797816712515694,1.6547524983542305,0.34285714285714286,0.29882202061079327,0.34285714285714286,0.30570004184555266,0.30570004184555266,0.0,0.5645161290322581,0.7,0.625,0.256198347107438,0.62,0.36257309941520466,0.0,0.0,0.0,0.2631578947368421,0.2,0.22727272727272727,0.34285714285714286,0.24,0.2823529411764706,0.2857142857142857,0.2,0.23529411764705882,0.3793103448275862,0.44,0.4074074074074074
6,1.6750068691798619,1.657322166306632,0.35714285714285715,0.3539108960857571,0.3571428571428572,0.3379959823020505,0.3379959823020506,0.14634146341463414,0.6470588235294118,0.66,0.6534653465346535,0.25510204081632654,0.5,0.3378378378378379,0.3181818181818182,0.14,0.19444444444444445,0.1875,0.12,0.14634146341463414,0.34146341463414637,0.28,0.3076923076923077,0.3333333333333333,0.2,0.25,0.39473684210526316,0.6,0.47619047619047616
7,1.6416554852894374,1.6293393904822213,0.36,0.36381533665751603,0.36,0.34018819801240546,0.3401881980124054,0.07894736842105263,0.7380952380952381,0.62,0.6739130434782609,0.37681159420289856,0.52,0.4369747899159664,0.3333333333333333,0.08,0.12903225806451613,0.11538461538461539,0.06,0.07894736842105263,0.2524271844660194,0.52,0.33986928104575165,0.3488372093023256,0.3,0.3225806451612903,0.38181818181818183,0.42,0.4000000000000001
8,1.6285467903954642,1.6508905451638358,0.35428571428571426,0.33764327143163764,0.35428571428571426,0.3280158764548656,0.3280158764548656,0.12820512820512822,0.45161290322580644,0.84,0.5874125874125874,0.4090909090909091,0.18,0.25,0.25,0.26,0.2549019607843137,0.17857142857142858,0.1,0.12820512820512822,0.2830188679245283,0.3,0.2912621359223301,0.41025641025641024,0.32,0.35955056179775285,0.38095238095238093,0.48,0.42477876106194684
9,1.600585241998945,1.6426819167818343,0.38,0.3630200514670588,0.38,0.3464659076888225,0.34646590768882246,0.06557377049180327,0.7021276595744681,0.66,0.6804123711340208,0.36923076923076925,0.48,0.4173913043478261,0.3333333333333333,0.16,0.21621621621621623,0.18181818181818182,0.04,0.06557377049180327,0.3181818181818182,0.42,0.3620689655172414,0.3,0.18,0.225,0.3364485981308411,0.72,0.45859872611464964
10,1.5869670479638236,1.6411365958622524,0.34285714285714286,0.34211905639216456,0.3428571428571429,0.32088515494800296,0.3208851549480029,0.11764705882352941,0.6666666666666666,0.6,0.631578947368421,0.30927835051546393,0.6,0.40816326530612246,0.26666666666666666,0.08,0.12307692307692307,0.2222222222222222,0.08,0.11764705882352941,0.2222222222222222,0.36,0.27480916030534347,0.2926829268292683,0.24,0.2637362637362637,0.41509433962264153,0.44,0.42718446601941745
11,1.578139158657619,1.6357160077776227,0.3742857142857143,0.351391021649908,0.3742857142857142,0.34784564167453363,0.3478456416745337,0.1111111111111111,0.5901639344262295,0.72,0.6486486486486487,0.35135135135135137,0.52,0.4193548387096775,0.3157894736842105,0.12,0.17391304347826086,0.18181818181818182,0.08,0.1111111111111111,0.2972972972972973,0.44,0.3548387096774193,0.30952380952380953,0.26,0.2826086956521739,0.41379310344827586,0.48,0.4444444444444445
12,1.576202824456351,1.6179760667255947,0.38,0.36275401486888464,0.38,0.36413378528273166,0.36413378528273166,0.17721518987341772,0.5507246376811594,0.76,0.638655462184874,0.3728813559322034,0.44,0.40366972477064217,0.23529411764705882,0.16,0.19047619047619052,0.2413793103448276,0.14,0.17721518987341772,0.36363636363636365,0.32,0.3404255319148936,0.2753623188405797,0.38,0.319327731092437,0.5,0.46,0.4791666666666667
13,1.5400230421338763,1.6561591741016932,0.38285714285714284,0.389709576747754,0.3828571428571429,0.3549029512166298,0.35490295121662974,0.13333333333333333,0.6666666666666666,0.64,0.6530612244897959,0.3229166666666667,0.62,0.4246575342465754,0.4,0.08,0.13333333333333333,0.21621621621621623,0.16,0.18390804597701146,0.43333333333333335,0.26,0.325,0.30952380952380953,0.26,0.2826086956521739,0.3793103448275862,0.66,0.48175182481751827
14,1.5258203962871006,1.584429166657584,0.36857142857142855,0.3577926693065286,0.3685714285714285,0.355047936880235,0.355047936880235,0.15584415584415584,0.6111111111111112,0.66,0.6346153846153846,0.37142857142857144,0.52,0.43333333333333335,0.3,0.18,0.225,0.2222222222222222,0.12,0.15584415584415584,0.3283582089552239,0.44,0.37606837606837606,0.26666666666666666,0.32,0.2909090909090909,0.40476190476190477,0.34,0.36956521739130443
15,1.531995471886226,1.5926962668555122,0.4,0.38307051779147966,0.39999999999999997,0.3839012431011728,0.38390124310117274,0.17977528089887643,0.625,0.8,0.7017543859649122,0.36486486486486486,0.54,0.43548387096774194,0.34375,0.22,0.2682926829268293,0.20512820512820512,0.16,0.17977528089887643,0.37777777777777777,0.34,0.3578947368421052,0.3684210526315789,0.28,0.3181818181818182,0.39655172413793105,0.46,0.425925925925926
