epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_min_class_f1,val_precision_Neutral,val_recall_Neutral,val_f1_Neutral,val_precision_Happy,val_recall_Happy,val_f1_Happy,val_precision_Angry,val_recall_Angry,val_f1_Angry,val_precision_Sad,val_recall_Sad,val_f1_Sad,val_precision_Fear,val_recall_Fear,val_f1_Fear,val_precision_Disgust,val_recall_Disgust,val_f1_Disgust,val_precision_Boredum,val_recall_Boredum,val_f1_Boredum
1,1.909989436694554,1.7987490660803658,0.30857142857142855,0.3286230774237788,0.3085714285714286,0.26792252531038385,0.26792252531038385,0.125,0.352,0.88,0.5028571428571428,0.3870967741935484,0.24,0.2962962962962963,0.2857142857142857,0.08,0.125,0.18085106382978725,0.34,0.2361111111111111,0.38461538461538464,0.1,0.15873015873015872,0.35294117647058826,0.12,0.1791044776119403,0.35714285714285715,0.4,0.3773584905660378
2,1.8017825405938284,1.7223920706340246,0.3171428571428571,0.34383680128586747,0.31714285714285717,0.30917162176401686,0.30917162176401686,0.16393442622950818,0.5769230769230769,0.6,0.5882352941176471,0.25,0.42,0.31343283582089554,0.2631578947368421,0.3,0.2803738317757009,0.1875,0.18,0.1836734693877551,0.25806451612903225,0.32,0.2857142857142857,0.45454545454545453,0.1,0.16393442622950818,0.4166666666666667,0.3,0.3488372093023256
3,1.7357819284711564,1.702856114251273,0.34,0.36328699435370576,0.34,0.28599552107359655,0.28599552107359655,0.038461538461538464,0.33587786259541985,0.88,0.48618784530386744,0.39285714285714285,0.22,0.28205128205128205,0.5,0.02,0.038461538461538464,0.2857142857142857,0.08,0.125,0.3103448275862069,0.54,0.39416058394160586,0.2926829268292683,0.24,0.2637362637362637,0.425531914893617,0.4,0.4123711340206186
4,1.696802409035819,1.722998457636152,0.32571428571428573,0.32815393866913845,0.32571428571428573,0.26558125528806914,0.26558125528806914,0.037037037037037035,0.37168141592920356,0.84,0.5153374233128835,0.4117647058823529,0.14,0.208955223880597,0.38461538461538464,0.1,0.15873015873015872,0.2916666666666667,0.14,0.1891891891891892,0.25,0.48,0.3287671232876712,0.25,0.02,0.037037037037037035,0.3373493975903614,0.56,0.42105263157894735
5,1.6639004904883248,1.6853901495252337,0.3314285714285714,0.3186054756691475,0.3314285714285714,0.2927179584361625,0.2927179584361625,0.06779661016949154,0.42574257425742573,0.86,0.5695364238410596,0.2604166666666667,0.5,0.3424657534246575,0.2222222222222222,0.04,0.06779661016949154,0.2127659574468085,0.2,0.2061855670103093,0.24242424242424243,0.16,0.19277108433734938,0.4166666666666667,0.2,0.2702702702702703,0.45,0.36,0.39999999999999997
6,1.6463690716879709,1.65283839566367,0.3457142857142857,0.3437276722283116,0.3457142857142857,0.3175681899128087,0.31756818991280866,0.03636363636363636,0.6,0.6,0.6,0.3055555555555556,0.44,0.36065573770491804,0.28125,0.36,0.3157894736842105,0.2,0.02,0.03636363636363636,0.2717391304347826,0.5,0.352112676056338,0.375,0.12,0.18181818181818182,0.37254901960784315,0.38,0.37623762376237624
7,1.6197082308360509,1.6402558619635446,0.3514285714285714,0.3155647125545872,0.3514285714285715,0.30668554592845115,0.3066855459284511,0.03389830508474577,0.578125,0.74,0.6491228070175439,0.3508771929824561,0.4,0.37383177570093457,0.1111111111111111,0.02,0.03389830508474577,0.1935483870967742,0.12,0.14814814814814814,0.3010752688172043,0.56,0.39160839160839167,0.35714285714285715,0.1,0.15625,0.3170731707317073,0.52,0.3939393939393939
8,1.6022308458600725,1.6328916808537075,0.36857142857142855,0.3548278168507724,0.3685714285714286,0.3461773982518663,0.34617739825186633,0.16,0.49411764705882355,0.84,0.6222222222222222,0.3409090909090909,0.3,0.3191489361702128,0.2564102564102564,0.4,0.3125,0.24,0.12,0.16,0.38,0.38,0.38,0.3333333333333333,0.18,0.23376623376623376,0.43902439024390244,0.36,0.3956043956043956
9,1.5842599391937255,1.6179942996161325,0.3514285714285714,0.3337705854132791,0.3514285714285714,0.3290964547734979,0.329096454773498,0.14634146341463414,0.5,0.82,0.6212121212121212,0.3392857142857143,0.38,0.3584905660377359,0.2545454545454545,0.28,0.26666666666666666,0.1875,0.12,0.14634146341463414,0.34782608695652173,0.16,0.2191780821917808,0.3125,0.4,0.3508771929824561,0.39473684210526316,0.3,0.34090909090909094
10,1.5601484843662807,1.597272059576852,0.35714285714285715,0.34641691741846004,0.35714285714285715,0.33985401217861116,0.33985401217861116,0.16216216216216217,0.5333333333333333,0.8,0.64,0.4,0.24,0.3,0.2222222222222222,0.28,0.24778761061946905,0.25,0.12,0.16216216216216217,0.3488372093023256,0.3,0.3225806451612903,0.3088235294117647,0.42,0.3559322033898305,0.3617021276595745,0.34,0.3505154639175258
11,1.5540498658588955,1.6211343370165143,0.3628571428571429,0.3440433639941029,0.3628571428571429,0.3365450867961489,0.3365450867961488,0.15584415584415584,0.5,0.84,0.6268656716417911,0.3108108108108108,0.46,0.3709677419354839,0.2222222222222222,0.12,0.15584415584415584,0.19444444444444445,0.14,0.16279069767441862,0.42857142857142855,0.3,0.3529411764705882,0.41379310344827586,0.24,0.3037974683544304,0.3384615384615385,0.44,0.3826086956521739
12,1.520130477292197,1.5784605264663696,0.37714285714285717,0.3377716161296894,0.37714285714285717,0.34853403717853704,0.348534037178537,0.032786885245901634,0.5735294117647058,0.78,0.6610169491525424,0.3829787234042553,0.36,0.37113402061855666,0.3142857142857143,0.22,0.25882352941176473,0.09090909090909091,0.02,0.032786885245901634,0.31343283582089554,0.42,0.35897435897435903,0.3559322033898305,0.42,0.3853211009174312,0.3333333333333333,0.42,0.3716814159292035
13,1.499939330305372,1.6008852870123726,0.3457142857142857,0.2953222053042399,0.3457142857142857,0.3000748752301547,0.30007487523015475,0.0634920634920635,0.5616438356164384,0.82,0.6666666666666667,0.2786885245901639,0.34,0.30630630630630634,0.25,0.12,0.16216216216216217,0.16666666666666666,0.08,0.10810810810810811,0.15384615384615385,0.04,0.0634920634920635,0.3230769230769231,0.42,0.3652173913043478,0.3333333333333333,0.6,0.42857142857142855
