epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_min_class_f1,val_precision_Neutral,val_recall_Neutral,val_f1_Neutral,val_precision_Happy,val_recall_Happy,val_f1_Happy,val_precision_Angry,val_recall_Angry,val_f1_Angry,val_precision_Sad,val_recall_Sad,val_f1_Sad,val_precision_Fear,val_recall_Fear,val_f1_Fear,val_precision_Disgust,val_recall_Disgust,val_f1_Disgust,val_precision_Boredum,val_recall_Boredum,val_f1_Boredum
1,1.8908256149291993,1.8074103369031633,0.24571428571428572,0.1385946327683616,0.24571428571428572,0.15960904283545974,0.1596090428354597,0.0,0.3645833333333333,0.7,0.4794520547945206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22033898305084745,0.26,0.23853211009174313,0.1875,0.06,0.09090909090909091,0.1977401129943503,0.7,0.30837004405286345
2,1.8192098120280675,1.7426788943154472,0.2914285714285714,0.26580468370966753,0.2914285714285714,0.23088850211026699,0.23088850211026707,0.0,0.4470588235294118,0.76,0.562962962962963,0.27058823529411763,0.46,0.34074074074074073,0.3333333333333333,0.02,0.03773584905660377,0.0,0.0,0.0,0.2079207920792079,0.42,0.2781456953642384,0.23809523809523808,0.3,0.26548672566371684,0.36363636363636365,0.08,0.13114754098360654
3,1.776016924721854,1.7161959300722394,0.32,0.31747086032800315,0.32,0.28412806166562626,0.28412806166562626,0.03773584905660377,0.40404040404040403,0.8,0.5369127516778524,0.2702702702702703,0.4,0.3225806451612903,0.3333333333333333,0.02,0.03773584905660377,0.20512820512820512,0.16,0.17977528089887643,0.25,0.32,0.2807017543859649,0.34285714285714286,0.24,0.2823529411764706,0.4166666666666667,0.3,0.3488372093023256
4,1.7558282164164951,1.6979519660132272,0.3314285714285714,0.34360341893186946,0.3314285714285714,0.3159845784143614,0.3159845784143614,0.20833333333333331,0.47297297297297297,0.7,0.5645161290322581,0.35714285714285715,0.3,0.32608695652173914,0.47058823529411764,0.16,0.23880597014925375,0.21739130434782608,0.2,0.20833333333333331,0.24742268041237114,0.48,0.32653061224489793,0.2647058823529412,0.18,0.21428571428571427,0.375,0.3,0.33333333333333326
5,1.710749785559518,1.6975223248345512,0.30857142857142855,0.29574084615343965,0.30857142857142866,0.2768108644809962,0.2768108644809962,0.09803921568627451,0.35772357723577236,0.88,0.5086705202312138,0.35,0.28,0.3111111111111111,0.21428571428571427,0.12,0.15384615384615383,0.09615384615384616,0.1,0.09803921568627451,0.32608695652173914,0.3,0.31250000000000006,0.29411764705882354,0.1,0.14925373134328357,0.4318181818181818,0.38,0.4042553191489362
6,1.695928512300764,1.6522300386428832,0.34285714285714286,0.335577726173529,0.34285714285714286,0.3301495164940543,0.33014951649405433,0.20000000000000004,0.5652173913043478,0.78,0.6554621848739495,0.36666666666666664,0.22,0.27499999999999997,0.35714285714285715,0.2,0.25641025641025644,0.2,0.2,0.20000000000000004,0.25862068965517243,0.3,0.2777777777777778,0.24074074074074073,0.26,0.25,0.36065573770491804,0.44,0.3963963963963964
7,1.6853295394352503,1.635059405054365,0.35428571428571426,0.3357760945428886,0.35428571428571426,0.33814912603458486,0.33814912603458486,0.20224719101123595,0.5901639344262295,0.72,0.6486486486486487,0.3508771929824561,0.4,0.37383177570093457,0.2962962962962963,0.16,0.20779220779220778,0.23076923076923078,0.18,0.20224719101123595,0.2692307692307692,0.28,0.27450980392156865,0.23809523809523808,0.2,0.21739130434782608,0.375,0.54,0.4426229508196721
8,1.6548238263811383,1.6361911160605294,0.3514285714285714,0.33145139143755026,0.3514285714285714,0.317156610118795,0.31715661011879503,0.18181818181818182,0.4787234042553192,0.9,0.6250000000000001,0.2564102564102564,0.4,0.3125,0.2571428571428571,0.18,0.2117647058823529,0.2571428571428571,0.18,0.2117647058823529,0.2647058823529412,0.18,0.21428571428571427,0.375,0.12,0.18181818181818182,0.43103448275862066,0.5,0.46296296296296297
9,1.6421749210357666,1.6266704184668406,0.3514285714285714,0.33508394050414136,0.3514285714285714,0.32454166171206883,0.3245416617120689,0.0967741935483871,0.6065573770491803,0.74,0.6666666666666666,0.3508771929824561,0.4,0.37383177570093457,0.25,0.06,0.0967741935483871,0.23529411764705882,0.16,0.19047619047619052,0.20930232558139536,0.36,0.2647058823529412,0.2962962962962963,0.16,0.20779220779220778,0.3972602739726027,0.58,0.4715447154471545
10,1.6160852084841046,1.625664164679391,0.3657142857142857,0.3290513745543984,0.3657142857142857,0.33010832470197826,0.33010832470197826,0.08695652173913043,0.5394736842105263,0.82,0.6507936507936507,0.30952380952380953,0.26,0.2826086956521739,0.21739130434782608,0.2,0.20833333333333331,0.15789473684210525,0.06,0.08695652173913043,0.34375,0.44,0.3859649122807018,0.34782608695652173,0.16,0.2191780821917808,0.3875,0.62,0.4769230769230769
